PARK,BOROUGH,QUARTER,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
FRANCIS LEWIS PARK,QUEENS       ,4,16.83,ONE ACRE OR LARGER,0,0,0,0,,,,0
LEIF ERICSON PARK,BROOKLYN     ,4,16.80,ONE ACRE OR LARGER,0,0,0,0,,,,0
EIBS POND PARK,STATEN ISLAND,4,16.51,ONE ACRE OR LARGER,0,0,0,0,,,,0
RAILROAD PARK QUEENS,QUEENS       ,4,16.44,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BREUKELEN BALLFIELDS,BROOKLYN     ,4,16.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRANZ SIGEL PARK,BRONX        ,4,15.99,ONE ACRE OR LARGER,0,0,3,0,0,0,0,3
THOMAS JEFFERSON PARK,MANHATTAN    ,4,15.52,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALICE AUSTEN PARK,STATEN ISLAND,4,15.52,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MILL POND PARK,BRONX        ,4,15.50,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SHERMAN CREEK,MANHATTAN    ,4,15.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARRIS PARK,BRONX        ,4,15.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GOODHUE,STATEN ISLAND,4,15.06,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MULLALY PARK,BRONX        ,4,15.05,ONE ACRE OR LARGER,0,0,4,1,0,0,0,5
TREMONT PARK,BRONX        ,4,15.00,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CARL SCHURZ PARK,MANHATTAN    ,4,14.94,ONE ACRE OR LARGER,0,0,1,1,0,0,0,2
GRAND ARMY PLAZA BROOKLYN,BROOKLYN     ,4,14.26,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VON BRIESEN PARK,STATEN ISLAND,4,13.94,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MOTOR PARKWAY,QUEENS       ,4,13.89,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,QUEENS       ,4,13.83,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BEACH 17 PLAYGROUND,QUEENS       ,4,13.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TUDOR PARK,QUEENS       ,4,13.54,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
AQUEDUCT WALK,BRONX        ,4,13.53,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FATHER MACRIS PARK,STATEN ISLAND,4,13.47,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STARLIGHT PARK,BRONX        ,4,12.93,ONE ACRE OR LARGER,0,0,0,,,,,0
JACKIE ROBINSON PARK MANHATTAN,MANHATTAN    ,4,12.77,ONE ACRE OR LARGER,0,0,2,,,,,2
BROOKLYN MUSEUM,BROOKLYN     ,4,12.66,ONE ACRE OR LARGER,0,0,0,,,,,0
BEACH CHANNEL PARK,QUEENS       ,4,12.62,ONE ACRE OR LARGER,0,0,0,,,,,0
GREENBELT NATIVE PLANT CENTER,STATEN ISLAND,4,12.25,ONE ACRE OR LARGER,0,0,0,,,,,0
BOWNE PARK,QUEENS       ,4,11.79,ONE ACRE OR LARGER,0,0,0,,,,,0
SETON PARK,BRONX        ,4,11.69,ONE ACRE OR LARGER,0,0,0,,,,,0
RUFUS KING PARK,QUEENS       ,4,11.50,ONE ACRE OR LARGER,0,0,1,,,,,1
FRANK GOLDEN PARK,QUEENS       ,4,11.42,ONE ACRE OR LARGER,0,0,0,,,,,0
ST. JAMES PARK,BRONX        ,4,11.39,ONE ACRE OR LARGER,0,0,0,,,,,0
RICHMOND TERRACE WETLANDS,STATEN ISLAND,4,11.19,ONE ACRE OR LARGER,0,0,0,,,,,0
BARRETTO POINT PARK,BRONX        ,4,11.16,ONE ACRE OR LARGER,0,0,0,,,,,0
ST. ALBANS PARK,QUEENS       ,4,10.79,ONE ACRE OR LARGER,0,0,0,,,,,0
GEMINI FIELDS,QUEENS       ,4,10.76,ONE ACRE OR LARGER,0,0,0,,,,,0
GIVANS CREEK WOODS,BRONX        ,4,10.74,ONE ACRE OR LARGER,0,0,0,,,,,0
BETSY HEAD PARK,BROOKLYN     ,4,10.56,ONE ACRE OR LARGER,0,0,0,,,,,0
TOMPKINS SQUARE PARK,MANHATTAN    ,4,10.50,ONE ACRE OR LARGER,0,0,2,,,,,2
CPL. THOMPSON PARK,STATEN ISLAND,4,10.50,ONE ACRE OR LARGER,0,0,0,,,,,0
COMMODORE BARRY PARK,BROOKLYN     ,4,10.39,ONE ACRE OR LARGER,0,0,0,,,,,0
CADMAN PLAZA PARK,BROOKLYN     ,4,10.38,ONE ACRE OR LARGER,0,0,0,,,,,0
BROADWAY MALLS,MANHATTAN    ,4,10.24,ONE ACRE OR LARGER,0,0,0,,,,,0
