,PARK,BOROUGH,QUARTER,CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,CRIME OCCURED,VICIOUS CRIMES
83,LAURELTON PARKWAY,QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
84,RED HOOK RECREATION AREA,BROOKLYN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
85,SHORE PARK AND PARKWAY,BROOKLYN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
86,SPRING CREEK PARK ADDITION,BROOKLYN/QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
87,JUNIPER VALLEY PARK,QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
88,LITTLE BAY PARK,QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
89,POWELL'S COVE PARK,QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
90,HENRY HUDSON PARKWAY,BRONX,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
91,HARLEM RIVER PARK,MANHATTAN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
92,DUBOS POINT WILDLIFE SANCTUARY,QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
93,ROY WILKINS RECREATION CENTER,QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
94,REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
